payment_id,customer_id,amount,payment_method,bank,timestamp,merchant_category,payment_status,failure_code,failure_category,retry_count,gateway_latency_ms,customer_success_rate,previous_failures_30d,previous_successful_retries,customer_tenure_days,subscription_status,hour,day_of_week,device_type,network_type,location_zone,gt_retry_now,gt_retry_later,gt_switch_method,gt_send_notification,gt_stop,gt_best_action,split
PAY_000036,CUST_01829,15367,CARD,PNB,2026-08-29 03:16:25,Ecommerce,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,7195,0.99,0,2,335,CHURNED,4,Saturday,iOS,5G,Kolkata,0.5435,0.8235,0.6935,0.2135,0.0435,RETRY_LATER,train
PAY_008363,CUST_02336,129,CARD,SBI,2026-08-14 20:41:30,Ecommerce,FAILED,BANK_TIMEOUT,TEMPORARY,0,1571,0.74,1,2,217,ACTIVE,21,Friday,iOS,5G,Mumbai,0.556,0.826,0.616,0.206,0.006,RETRY_LATER,train
PAY_001514,CUST_01177,848,CARD,Yes,2026-08-02 14:07:25,Ecommerce,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,3123,0.99,0,8,145,ACTIVE,15,Sunday,iOS,WiFi,Hyderabad,0.2235,0.4835,0.6235,0.7635,0.0935,SEND_NOTIFICATION,train
PAY_009318,CUST_00998,1839,UPI,HDFC,2026-08-13 15:55:31,Ecommerce,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4090,0.74,0,1,68,TRIAL,16,Thursday,Android,4G,Pune,0.506,0.786,0.656,0.176,0.006,RETRY_LATER,train
PAY_000040,CUST_02854,239,CARD,ICICI,2026-08-12 10:37:25,Ecommerce,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,340,0.94,0,0,633,TRIAL,11,Wednesday,iOS,4G,Chennai,0.536,0.816,0.686,0.206,0.036,RETRY_LATER,train
PAY_004820,CUST_01428,428,CARD,PNB,2026-08-03 23:41:27,FoodDelivery,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,3906,0.9,0,4,791,TRIAL,0,Monday,Android,4G,Chennai,0.53,0.81,0.68,0.2,0.03,RETRY_LATER,train
PAY_003466,CUST_01842,5073,UPI,Yes,2026-08-03 21:04:26,Ecommerce,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,5581,0.85,0,4,385,TRIAL,21,Monday,Android,WiFi,Hyderabad,0.5425,0.8225,0.6225,0.2025,0.0225,RETRY_LATER,train
PAY_001761,CUST_02293,149,UPI,ICICI,2026-08-29 13:41:26,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,1012,0.95,0,2,352,ACTIVE,14,Saturday,Android,4G,Kolkata,0.1175,0.1575,0.5875,0.6875,0.1875,SEND_NOTIFICATION,train
PAY_002305,CUST_04264,551,CARD,Kotak,2026-08-11 20:38:26,Travel,FAILED,LIMIT_EXCEEDED,CUSTOMER,0,1611,0.93,0,0,253,ACTIVE,21,Tuesday,iOS,4G,Kolkata,0.2545,0.4145,0.5145,0.5845,0.1145,SEND_NOTIFICATION,train
PAY_003724,CUST_01962,271,NETBANKING,ICICI,2026-08-16 06:19:26,FoodDelivery,FAILED,INVALID_ACCOUNT,HARD,0,2927,0.66,1,1,245,ACTIVE,7,Sunday,Android,3G,Hyderabad,0.014,0.024,0.094,0.114,0.984,SEND_NOTIFICATION,train
PAY_008285,CUST_03935,319,UPI,Axis,2026-08-07 23:59:30,SaaS,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,392,0.9,0,2,199,ACTIVE,0,Friday,Android,WiFi,Hyderabad,0.21,0.47,0.61,0.75,0.08,SEND_NOTIFICATION,train
PAY_004994,CUST_02571,2364,CARD,HDFC,2026-08-25 08:05:27,SaaS,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,2557,0.68,0,2,51,TRIAL,8,Tuesday,iOS,4G,Kolkata,0.347,0.497,0.417,0.597,0.097,SEND_NOTIFICATION,train
PAY_008128,CUST_03166,99,NETBANKING,SBI,2026-08-31 14:00:30,Travel,FAILED,NETWORK_ERROR,TEMPORARY,0,4140,0.81,1,1,751,CHURNED,14,Monday,iOS,3G,Mumbai,0.4965,0.7665,0.5965,0.1665,0.0165,RETRY_LATER,train
PAY_003033,CUST_01386,99,UPI,ICICI,2026-08-22 13:59:26,Travel,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1525,0.73,0,1,500,ACTIVE,14,Saturday,Web,WiFi,Mumbai,0.1845,0.4445,0.5845,0.7245,0.0545,SEND_NOTIFICATION,train
PAY_007939,CUST_04752,851,NETBANKING,SBI,2026-08-26 19:29:30,Travel,FAILED,BANK_TIMEOUT,TEMPORARY,0,5400,0.99,0,4,84,ACTIVE,20,Wednesday,iOS,4G,Bangalore,0.5935,0.8635,0.6535,0.2435,0.0435,RETRY_LATER,train
PAY_003040,CUST_00945,1262,UPI,Kotak,2026-08-17 16:19:26,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,5650,0.77,1,2,974,ACTIVE,17,Monday,Android,5G,Mumbai,0.5605,0.8305,0.6205,0.2105,0.0105,RETRY_LATER,train
PAY_009656,CUST_01773,204,CARD,Yes,2026-08-28 19:45:32,EdTech,FAILED,BANK_TIMEOUT,TEMPORARY,0,4764,0.68,0,3,241,NONE,20,Friday,Android,5G,Chennai,0.547,0.817,0.607,0.197,0.0,RETRY_LATER,train
PAY_002546,CUST_00298,525,UPI,SBI,2026-08-14 13:35:26,EdTech,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,2088,0.77,1,1,282,ACTIVE,14,Friday,Desktop,3G,Delhi,0.5105,0.7905,0.6605,0.1805,0.0105,RETRY_LATER,train
PAY_002593,CUST_01391,1647,CARD,HDFC,2026-08-26 16:30:26,Travel,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4824,0.85,1,2,299,CHURNED,17,Wednesday,Android,4G,Mumbai,0.5225,0.8025,0.6725,0.1925,0.0225,RETRY_LATER,train
PAY_001189,CUST_00069,1054,WALLET,HDFC,2026-08-06 11:55:25,Ecommerce,FAILED,BANK_TIMEOUT,TEMPORARY,0,2882,0.74,0,2,470,ACTIVE,12,Thursday,iOS,5G,Hyderabad,0.556,0.826,0.616,0.206,0.006,RETRY_LATER,train
PAY_007967,CUST_02727,370,CARD,HDFC,2026-08-25 07:52:30,FoodDelivery,FAILED,CARD_EXPIRED,CUSTOMER,0,2775,0.85,0,3,919,ACTIVE,8,Tuesday,Android,5G,Kolkata,0.1025,0.1425,0.5725,0.6725,0.1725,SEND_NOTIFICATION,train
PAY_006078,CUST_03258,3278,NETBANKING,HDFC,2026-08-30 05:41:28,Gaming,FAILED,LIMIT_EXCEEDED,CUSTOMER,0,2782,0.74,0,3,621,TRIAL,6,Sunday,Android,WiFi,Chennai,0.226,0.386,0.486,0.556,0.086,SEND_NOTIFICATION,train
PAY_000108,CUST_03049,254,CARD,Kotak,2026-08-30 05:03:25,EdTech,FAILED,INVALID_ACCOUNT,HARD,0,1655,0.88,0,5,592,ACTIVE,5,Sunday,Android,WiFi,Chennai,0.047,0.057,0.127,0.147,0.99,SEND_NOTIFICATION,train
PAY_001316,CUST_00879,2527,NETBANKING,PNB,2026-08-27 09:59:25,Travel,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,2170,0.73,1,2,246,ACTIVE,10,Thursday,Android,3G,Hyderabad,0.5045,0.7845,0.6545,0.1745,0.0045,RETRY_LATER,train
PAY_008188,CUST_02908,871,NETBANKING,Axis,2026-08-08 10:34:30,Travel,FAILED,CARD_EXPIRED,CUSTOMER,0,1900,0.88,0,1,260,ACTIVE,11,Saturday,Android,WiFi,Hyderabad,0.107,0.147,0.577,0.677,0.177,SEND_NOTIFICATION,train
PAY_002754,CUST_00819,421,UPI,Kotak,2026-08-23 08:45:26,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,5767,0.88,1,4,266,TRIAL,9,Sunday,Desktop,WiFi,Delhi,0.577,0.847,0.637,0.227,0.027,RETRY_LATER,train
PAY_009754,CUST_00956,540,NETBANKING,Yes,2026-08-21 10:03:32,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,4507,0.88,0,5,700,TRIAL,10,Friday,Web,WiFi,Hyderabad,0.577,0.847,0.637,0.227,0.027,RETRY_LATER,train
PAY_006232,CUST_03281,5314,CARD,SBI,2026-08-03 23:14:28,Ecommerce,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,659,0.69,0,4,801,NONE,0,Monday,Web,3G,Chennai,0.3485,0.4985,0.4185,0.5985,0.0985,SEND_NOTIFICATION,train
PAY_002877,CUST_00047,2373,UPI,ICICI,2026-08-23 07:15:26,Ecommerce,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4845,0.82,0,6,528,ACTIVE,8,Sunday,Web,WiFi,Bangalore,0.538,0.818,0.618,0.198,0.018,RETRY_LATER,train
PAY_005324,CUST_04484,5931,CARD,PNB,2026-08-08 08:56:28,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,2892,0.95,0,3,475,CHURNED,9,Saturday,Web,WiFi,Mumbai,0.1175,0.1575,0.5875,0.6875,0.1875,SEND_NOTIFICATION,train
PAY_000800,CUST_02609,1081,CARD,SBI,2026-08-22 11:08:25,Ecommerce,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4172,0.83,1,3,819,ACTIVE,12,Saturday,iOS,3G,Chennai,0.5395,0.8195,0.6195,0.1995,0.0195,RETRY_LATER,train
PAY_003571,CUST_02587,533,CARD,HDFC,2026-08-17 18:18:26,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,2185,0.81,0,3,36,TRIAL,19,Monday,Android,4G,Kolkata,0.0965,0.1365,0.5665,0.6665,0.1665,SEND_NOTIFICATION,train
PAY_002895,CUST_00786,417,CARD,Kotak,2026-08-11 05:20:26,EdTech,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2349,0.97,0,1,781,NONE,6,Tuesday,Android,WiFi,Mumbai,0.2205,0.4805,0.6205,0.7605,0.0905,SEND_NOTIFICATION,train
PAY_002928,CUST_04853,416,CARD,Yes,2026-08-07 09:31:26,SaaS,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4413,0.8,0,3,571,CHURNED,10,Friday,iOS,5G,Pune,0.535,0.815,0.615,0.195,0.015,RETRY_LATER,train
PAY_008179,CUST_00480,1368,CARD,BOB,2026-08-29 16:44:30,Gaming,FAILED,CARD_EXPIRED,CUSTOMER,0,1350,0.99,0,0,84,ACTIVE,17,Saturday,Web,4G,Chennai,0.1235,0.1635,0.5935,0.6935,0.1935,SEND_NOTIFICATION,train
PAY_000972,CUST_03042,675,NETBANKING,SBI,2026-08-14 19:29:25,FoodDelivery,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2108,0.9,0,2,561,NONE,20,Friday,Android,3G,Kolkata,0.21,0.47,0.61,0.75,0.08,SEND_NOTIFICATION,train
PAY_006688,CUST_03854,99,NETBANKING,Axis,2026-08-10 13:38:29,EdTech,FAILED,BANK_TIMEOUT,TEMPORARY,0,4702,0.85,0,1,503,ACTIVE,14,Monday,Desktop,4G,Chennai,0.5725,0.8425,0.6325,0.2225,0.0225,RETRY_LATER,train
PAY_008576,CUST_00395,221,NETBANKING,PNB,2026-08-08 18:45:30,Ecommerce,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4685,0.97,0,1,499,ACTIVE,19,Saturday,Android,3G,Mumbai,0.5405,0.8205,0.6905,0.2105,0.0405,RETRY_LATER,train
PAY_002021,CUST_01097,1501,UPI,ICICI,2026-08-21 11:45:26,FoodDelivery,FAILED,BANK_TIMEOUT,TEMPORARY,0,7223,0.79,0,2,131,ACTIVE,12,Friday,Desktop,5G,Delhi,0.5635,0.8335,0.6235,0.2135,0.0135,RETRY_LATER,train
PAY_009055,CUST_00201,870,WALLET,Axis,2026-08-04 18:00:31,EdTech,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,745,0.85,1,3,638,NONE,18,Tuesday,Android,4G,Chennai,0.2025,0.4625,0.6025,0.7425,0.0725,SEND_NOTIFICATION,train
PAY_000953,CUST_00199,99,UPI,ICICI,2026-08-20 08:45:25,FoodDelivery,FAILED,NETWORK_ERROR,TEMPORARY,0,4997,0.99,0,2,669,NONE,9,Thursday,iOS,3G,Mumbai,0.5235,0.7935,0.6235,0.1935,0.0435,RETRY_LATER,train
PAY_005360,CUST_04116,588,CARD,HDFC,2026-08-31 10:15:28,Gaming,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4013,0.9,0,1,150,NONE,11,Monday,iOS,3G,Delhi,0.55,0.83,0.63,0.21,0.03,RETRY_LATER,train
PAY_003858,CUST_02090,714,CARD,Axis,2026-08-18 13:32:26,FoodDelivery,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,3024,0.99,0,3,869,ACTIVE,14,Tuesday,iOS,4G,Chennai,0.5435,0.8235,0.6935,0.2135,0.0435,RETRY_LATER,train
PAY_005862,CUST_01220,1394,UPI,Yes,2026-08-04 06:19:28,SaaS,FAILED,PAYMENT_EXPIRED,HARD,0,2321,0.89,0,3,610,ACTIVE,7,Tuesday,Web,WiFi,Pune,0.0385,0.0485,0.0785,0.1085,0.99,SEND_NOTIFICATION,train
PAY_003146,CUST_03134,118,CARD,Axis,2026-08-24 13:54:26,SaaS,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1293,0.94,0,4,469,ACTIVE,14,Monday,Desktop,4G,Delhi,0.216,0.476,0.616,0.756,0.086,SEND_NOTIFICATION,train
PAY_003306,CUST_01041,107,NETBANKING,HDFC,2026-08-03 07:54:26,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,5070,0.75,1,3,61,ACTIVE,8,Monday,Android,5G,Kolkata,0.5575,0.8275,0.6175,0.2075,0.0075,RETRY_LATER,train
PAY_003007,CUST_03036,517,UPI,ICICI,2026-08-06 22:05:26,Ecommerce,FAILED,BANK_TIMEOUT,TEMPORARY,0,4596,0.86,0,2,422,ACTIVE,22,Thursday,Web,4G,Hyderabad,0.574,0.844,0.634,0.224,0.024,RETRY_LATER,train
PAY_009002,CUST_02214,1409,UPI,HDFC,2026-08-19 14:08:31,SaaS,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,781,0.86,0,0,759,ACTIVE,15,Wednesday,Android,5G,Pune,0.374,0.524,0.444,0.624,0.124,SEND_NOTIFICATION,train
PAY_007771,CUST_03271,1274,UPI,SBI,2026-08-18 10:41:30,Travel,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,5656,0.76,1,1,381,NONE,11,Tuesday,Android,5G,Delhi,0.509,0.789,0.659,0.179,0.009,RETRY_LATER,train
PAY_007439,CUST_04273,99,UPI,Axis,2026-08-21 17:26:29,Ecommerce,FAILED,PAYMENT_EXPIRED,HARD,0,1610,0.81,1,7,355,TRIAL,18,Friday,iOS,WiFi,Pune,0.0265,0.0365,0.0665,0.0965,0.99,RETRY_LATER,train
PAY_007943,CUST_02148,438,UPI,HDFC,2026-08-15 21:18:30,FoodDelivery,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1448,0.73,1,6,872,TRIAL,22,Saturday,Android,4G,Chennai,0.1845,0.4445,0.5845,0.7245,0.0545,SEND_NOTIFICATION,train
